[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3765441026.01351,04/26/2019,12:49 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,0,MOMENT_UNITS
INFO,Sp11Cu,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Brass,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.29,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3765441327.75457,300.064834594727,150.157974243164,0.000609322936622746,7.63496435316182E-8,1,2,13.9012460708618,4.99799409872575,4.91000013425946,0.730861841554118,0.110179860909355,1,-1.64900790586419E-6,,,,,,,,,,,,,,,,,,,,,300.050170898438,300.079498291016,150.157974243164,150.157974243164,52.7165446652652,5.67556676061937,32.4162673950195,28,1,0,0,1,0.309600830078125,32.2580642700195,1,1,1,300.050170898438,0,300.064834594727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441337.74972,299.997924804687,140.17658996582,0.000609293363964887,5.88952605856713E-8,1,2,13.9012460708618,4.99797490653431,4.91000013425946,0.730811071231118,0.110247786479621,1,-1.58731641682521E-6,,,,,,,,,,,,,,,,,,,,,299.989715576172,300.006134033203,140.17658996582,140.17658996582,52.6696469541113,5.67556390649939,32.4287033081055,28,1,0,0,1,0.309219360351562,32.2580642700195,1,1,1,299.989715576172,0,299.997924804687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441347.75173,299.912719726562,130.20735168457,0.000609292410732595,3.6635838521545E-8,1,2,13.9012460708618,4.99806618436494,4.91000013425946,0.730835809214177,0.110204492307705,1,-1.62564747423149E-6,,,,,,,,,,,,,,,,,,,,,299.908325195313,299.917114257812,130.20735168457,130.20735168457,52.6864519672748,5.67520379536584,32.4784507751465,28,1,0,0,1,0.309677124023438,32.7468223571777,1,1,1,299.907684326172,0,299.912719726562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441358.38121,299.929840087891,120.104522705078,0.000609198415698384,3.46664527461099E-8,1,2,13.9012460708618,4.99798647427781,4.91000013425946,0.730699050154872,0.110234364056659,1,-1.58423493538256E-6,,,,,,,,,,,,,,,,,,,,,299.926544189453,299.933135986328,120.104522705078,120.104522705078,52.6841070817171,5.6754058421007,32.5281982421875,28,1,0,0,1,0.30914306640625,32.2580642700195,1,1,1,299.933135986328,0,299.929840087891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441368.19486,299.936798095703,110.147422790527,0.000609159874348061,3.48048530543815E-8,1,2,13.9012460708618,4.99796854351732,4.91000013425946,0.730637066836982,0.110305373844003,1,-1.51862651904075E-6,,,,,,,,,,,,,,,,,,,,,299.935791015625,299.937805175781,110.147422790527,110.147422790527,52.6825438246787,5.67516156176402,32.5655097961426,28,1,0,0,1,0.309829711914063,32.7468223571777,1,1,1,299.937805175781,0,299.936798095703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441378.9596,299.947006225586,100.081031799316,0.000609034795285475,4.86618148553627E-8,1,2,13.9012460708618,4.99798111628457,4.91000013425946,0.730484618815592,0.110315801131358,1,-1.49105360923136E-6,,,,,,,,,,,,,,,,,,,,,299.942993164063,299.951019287109,100.081031799316,100.081031799316,52.7439016634383,5.67517470504917,32.6152610778809,28,1,0,0,1,0.309982299804687,32.7468223571777,1,1,1,299.942993164063,0,299.947006225586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441388.7058,299.90885925293,90.1117858886719,0.000608995081809484,7.04955731318013E-8,1,2,13.9012460708618,4.99795801907079,4.91000013425946,0.730448820515527,0.110199788745757,1,-1.58111820141267E-6,,,,,,,,,,,,,,,,,,,,,299.906463623047,299.911254882812,90.1117858886719,90.1117858886719,52.664957182996,5.67510831842459,32.6276969909668,28,1,0,0,1,0.30975341796875,32.7468223571777,1,1,1,299.906463623047,0,299.90885925293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441399.6238,299.92854309082,80.1668243408203,0.00060883633714724,2.71421345759778E-8,1,2,13.9012460708618,4.99795444998038,4.91000013425946,0.73025524435886,0.110186826424067,1,-1.56746614168489E-6,,,,,,,,,,,,,,,,,,,,,299.927856445313,299.929229736328,80.1668243408203,80.1668243408203,52.6989580235825,5.67519409741241,32.702320098877,28,1,0,0,1,0.309829711914063,32.7468223571777,1,1,1,299.927856445313,0,299.92854309082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441409.20193,299.893478393555,70.0640106201172,0.000608646635849634,6.87420689563835E-8,1,2,13.9012460708618,4.99789634591811,4.91000013425946,0.729990015978134,0.110318250721368,1,-1.42721815526716E-6,,,,,,,,,,,,,,,,,,,,,299.885925292969,299.901031494141,70.0640106201172,70.0640106201172,52.7677413332748,5.6756774456902,32.7147560119629,28,1,0,0,1,0.310134887695313,32.7468223571777,1,1,1,299.884979248047,0,299.893478393555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3765441422.144,299.80729675293,60.1554756164551,0.000608494309869688,4.33880649243088E-8,1,2,13.9012460708618,4.99780990490813,4.91000013425946,0.729807543148925,0.11017053687887,1,-1.52479526019905E-6,,,,,,,,,,,,,,,,,,,,,299.795227050781,299.819366455078,60.1554756164551,60.1554756164551,52.7833739036594,5.67620854484251,32.7769432067871,28,1,0,0,1,0.309906005859375,32.2580642700195,1,1,1,299.795227050781,0,299.80729675293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
